"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
24850,160,"NZL","New Zealand",1,"Auckland",1,"Auckland","","","City","City"
24851,160,"NZL","New Zealand",1,"Auckland",2,"Franklin","","","District","District"
24852,160,"NZL","New Zealand",1,"Auckland",3,"Manukau","","","City","City"
24853,160,"NZL","New Zealand",1,"Auckland",4,"Rodney","","","District","District"
24854,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere","","","City","City"
24855,160,"NZL","New Zealand",2,"Bay of Plenty",6,"Opotiki","","","District","District"
24856,160,"NZL","New Zealand",2,"Bay of Plenty",7,"Rotorua","","","District","District"
24857,160,"NZL","New Zealand",2,"Bay of Plenty",8,"Taupo","","","District","District"
24858,160,"NZL","New Zealand",2,"Bay of Plenty",9,"Western Bay of Plenty","","","District","District"
24859,160,"NZL","New Zealand",2,"Bay of Plenty",10,"Whakatane","","","District","District"
24860,160,"NZL","New Zealand",3,"Canterbury",11,"Ashburton","","","District","District"
24861,160,"NZL","New Zealand",3,"Canterbury",12,"Bounty Islands","","","Unknown ","Unknown"
24862,160,"NZL","New Zealand",3,"Canterbury",13,"Christchurch","","","City","City"
24863,160,"NZL","New Zealand",3,"Canterbury",14,"Hurunui","","","District","District"
24864,160,"NZL","New Zealand",3,"Canterbury",15,"Kaikoura","","","District","District"
24865,160,"NZL","New Zealand",3,"Canterbury",16,"Mackenzie","","","District","District"
24866,160,"NZL","New Zealand",3,"Canterbury",17,"Selwyn","","","District","District"
24867,160,"NZL","New Zealand",3,"Canterbury",18,"Timaru","","","District","District"
24868,160,"NZL","New Zealand",3,"Canterbury",19,"Waimakariri","","","District","District"
24869,160,"NZL","New Zealand",3,"Canterbury",20,"Waimate","","","District","District"
24870,160,"NZL","New Zealand",3,"Canterbury",21,"Waitaki","","","District","District"
24871,160,"NZL","New Zealand",4,"Chatham Islands",22,"Waitangi","","","Territory","Territory"
24872,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne","","","District","District"
24873,160,"NZL","New Zealand",5,"Gisborne",24,"Otorohanga","","","District","District"
24874,160,"NZL","New Zealand",6,"Hawke's Bay",25,"Central Hawke's Bay","","","District","District"
24875,160,"NZL","New Zealand",6,"Hawke's Bay",26,"Hastings city","","","City","City"
24876,160,"NZL","New Zealand",6,"Hawke's Bay",27,"Hastings","","","District","District"
24877,160,"NZL","New Zealand",6,"Hawke's Bay",28,"Napier","","","City","City"
24878,160,"NZL","New Zealand",6,"Hawke's Bay",29,"Wairoa","","","District","District"
24879,160,"NZL","New Zealand",7,"Manawatu-Wanganui",30,"Horowhenua","","","District","District"
24880,160,"NZL","New Zealand",7,"Manawatu-Wanganui",31,"Manawatu","","","District","District"
24881,160,"NZL","New Zealand",7,"Manawatu-Wanganui",32,"Palmerston North","","","City","City"
24882,160,"NZL","New Zealand",7,"Manawatu-Wanganui",33,"Rangitikei","","","District","District"
24883,160,"NZL","New Zealand",7,"Manawatu-Wanganui",34,"Ruapehu","","","District","District"
24884,160,"NZL","New Zealand",7,"Manawatu-Wanganui",35,"Tararua","","","District","District"
24885,160,"NZL","New Zealand",7,"Manawatu-Wanganui",36,"Wanganui","","","District","District"
24886,160,"NZL","New Zealand",8,"Marlborough",37,"Marlborough","","","District","District"
24887,160,"NZL","New Zealand",9,"Nelson",38,"Nelson","","","City","City"
24888,160,"NZL","New Zealand",9,"Nelson",39,"Tasman","","","District","District"
24889,160,"NZL","New Zealand",10,"Northland",40,"Far North","","","District","District"
24890,160,"NZL","New Zealand",10,"Northland",41,"Kaipara","","","District","District"
24891,160,"NZL","New Zealand",10,"Northland",42,"Kermadec Islands","","","Unknown","Unknown"
24892,160,"NZL","New Zealand",10,"Northland",43,"Whangarei","","","District","District"
24893,160,"NZL","New Zealand",11,"Otago",44,"Antipodes Islands","","","Unknown","Unknown"
24894,160,"NZL","New Zealand",11,"Otago",45,"Central Otago","","","District","District"
24895,160,"NZL","New Zealand",11,"Otago",46,"Clutha","","","District","District"
24896,160,"NZL","New Zealand",11,"Otago",47,"Dunedin","","","City","City"
24897,160,"NZL","New Zealand",11,"Otago",48,"Queenstown-Lakes","","","District","District"
24898,160,"NZL","New Zealand",11,"Otago",49,"Southland","","","District","District"
24899,160,"NZL","New Zealand",11,"Otago",50,"Waitaki","","","District","District"
24900,160,"NZL","New Zealand",12,"Southland",51,"Auckland islands","","","Unknown","Unknown"
24901,160,"NZL","New Zealand",12,"Southland",52,"Campbell Islands","","","Uknown","Unknown"
24902,160,"NZL","New Zealand",12,"Southland",53,"Gore","","","District","District"
24903,160,"NZL","New Zealand",12,"Southland",54,"Invercargill","","","City","City"
24904,160,"NZL","New Zealand",12,"Southland",55,"Southland","","","District","District"
24905,160,"NZL","New Zealand",13,"Taranaki",56,"New Plymouth","","","District","District"
24906,160,"NZL","New Zealand",13,"Taranaki",57,"South Taranaki","","","District","District"
